option,key,result
Your Headsize,DT,Kg / Lbs
540-610,20,12 / 26
611-680,20,14 / 31
681-740,20,16 / 35
540-610,21,12.5 / 28
611-680,21,14.5 / 32
681-740,21,16.5 / 36
540-610,22,13 / 29
611-680,22,15 / 33
681-740,22,17 / 37
540-610,23,13.5 / 30
611-680,23,15.5 / 34
681-740,23,17.5 / 39
540-610,24,14 / 31
611-680,24,16 / 35
681-740,24,18 / 40
540-610,25,14.5 / 32
611-680,25,16.5 / 36
681-740,25,18.5 / 41
540-610,26,15 / 33
611-680,26,17 / 37
681-740,26,19 / 42
540-610,27,16 / 35
611-680,27,18 / 40
681-740,27,20 / 44
540-610,28,16.5 / 36
611-680,28,18.5 / 41
681-740,28,20.5 / 45
540-610,29,17 / 37
611-680,29,19 / 42
681-740,29,21 / 46
540-610,30,18 / 40
611-680,30,20 / 44
681-740,30,22 / 48
540-610,31,19 / 42
611-680,31,21 / 46
681-740,31,23 / 51
540-610,32,19.5 / 43
611-680,32,21.5 / 47
681-740,32,23.5 / 52
540-610,33,20 / 44
611-680,33,22 / 48
681-740,33,24 / 53
540-610,34,20.5 / 45
611-680,34,22.5 / 49
681-740,34,24.5 / 54
540-610,35,21 / 46
611-680,35,23 / 51
681-740,35,25 / 55
540-610,36,21.5 / 47
611-680,36,23.5 / 52
681-740,36,25.5 / 56
540-610,37,22 / 48
611-680,37,24 / 53
681-740,37,26 / 57
540-610,38,23 / 51
611-680,38,25 / 55
681-740,38,27 / 59
540-610,39,23.5 / 52
611-680,39,25.5 / 56
681-740,39,27.5 / 60
540-610,40,24 / 53
611-680,40,26 / 57
681-740,40,28 / 62
540-610,41,25 / 55
611-680,41,27 / 59
681-740,41,29 / 64
540-610,42,25.5 / 56
611-680,42,27.5 / 60
681-740,42,29.5 / 65
540-610,43,26 / 57
611-680,43,28 / 62
681-740,43,30 / 66
540-610,44,26.5 / 58
611-680,44,28.5 / 63
681-740,44,31 / 68
540-610,45,27 / 59
611-680,45,29 / 64
681-740,45,32 / 70
540-610,46,28 / 62
611-680,46,30 / 66
681-740,46,33 / 73
540-610,47,28.5 / 63
611-680,47,31 / 68
681-740,47,34 / 75
540-610,48,29 / 64
611-680,48,32 / 70
681-740,48,35 / 77
540-610,49,29.5 / 65
611-680,49,32.5 / 71
681-740,49,35.5 / 78
540-610,50,30 / 66
611-680,50,33 / 73
681-740,50,36 / 79
540-610,51,31 / 68
611-680,51,34 / 75
681-740,51,37 / 81
540-610,52,32 / 70
611-680,52,35 / 77
681-740,52,38 / 84
540-610,53,33 / 73
611-680,53,36 / 79
681-740,53,39 / 86
